2022-04-01T19:13,Class=Mammalia,Location=,min=10,necropsyStatus=Necropsy,SourceType=approved,KeepInfantRecords=false,KeepWildRecords=false,,,,,,,,,,,,,,,,,,,,,,,,,,
taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,Location,TotalRecords,RecordsWithDenominators,NeoplasiaDenominators,TotalNeoplasia,NeoplasiaWithDenominators,NeoplasiaPrevalence,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,AverageAge(months),AvgAgeNeoplasia(months),Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,Necropsies,#Sources,NoTissueInfo
6217,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,Black Rat,all,10,10,10,0,0,0,0,0,0,NA,0,0,NA,NA,NA,2,0,0,0,0,0,10,1,0
4233,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus eurycerus,Eastern Bongo,all,23,18,18,8,3,0.166666667,8,0,0,0,3,0.166666667,1,178.4,236,8,0,0,8,3,0,18,11,0
3470,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,Rock Hyrax,all,148,148,148,12,12,0.081081081,11,8,0.054054054,0.727272727,3,0.02027027,0.272727273,77.93,116,21,3,2,31,4,4,148,13,0
1005,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Seba Short-tailed Bat,all,220,220,220,14,14,0.063636364,14,9,0.040909091,0.642857143,5,0.022727273,0.357142857,78.03,132,34,2,1,37,6,3,220,10,0
906,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,Callosciurus prevostii,Prevosts Squirrel,all,26,16,16,14,4,0.25,14,1,0.0625,0.785714286,3,0.1875,0.214285714,126.73,151.57,5,1,0,8,2,1,16,10,0
3593,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Puma concolor,NA,all,23,23,23,7,7,0.304347826,7,6,0.260869565,0.857142857,1,0.043478261,0.142857143,177.18,216,7,2,2,8,5,4,23,12,0
2670,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,Cape Hunting Dog,all,58,58,58,20,20,0.344827586,18,13,0.224137931,0.722222222,5,0.086206897,0.277777778,107.23,127.41,27,9,6,18,7,5,58,19,0
1026,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,NA,all,12,10,10,6,4,0.4,5,2,0.2,0.8,1,0.1,0.2,77.33,104,5,3,1,4,1,1,10,7,0
3304,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,NA,all,23,23,23,0,0,0,0,0,0,NA,0,0,NA,135,NA,4,0,0,5,0,0,23,2,0
1793,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon dorsatum,NA,all,15,15,15,4,4,0.266666667,4,4,0.266666667,1,0,0,0,90,102,5,1,1,6,2,2,15,10,0
1302,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,Maned Wolf,all,52,19,19,36,3,0.157894737,35,2,0.105263158,0.571428571,0,0,0.428571429,158.35,180.52,11,3,2,7,0,0,19,14,0
2695,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus eugenii,NA,all,46,41,41,6,1,0.024390244,6,1,0.024390244,0.166666667,0,0,0.833333333,94.22,132,8,0,0,20,1,1,41,10,0
19426,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrax,Callithrax argentata,NA,all,20,20,20,0,0,0,0,0,0,NA,0,0,NA,NA,NA,6,0,0,0,0,0,20,1,0
1097,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus mitis,Stuhlmans Blue Monkey,all,40,40,40,4,4,0.1,4,4,0.1,1,0,0,0,NA,NA,0,0,0,0,0,0,40,1,0
1787,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus grevyi,Grevys Zebra,all,21,21,21,3,3,0.142857143,3,2,0.095238095,0.666666667,1,0.047619048,0.333333333,167.94,270,9,0,0,9,3,2,21,11,0
4422,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus maritimus,Polar Bear,all,26,26,26,8,8,0.307692308,8,5,0.192307692,0.625,3,0.115384615,0.375,255.65,288,11,3,2,11,2,1,26,13,0
3267,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Atlantic Harbor Seal,all,82,82,82,2,2,0.024390244,2,2,0.024390244,1,0,0,0,182.57,NA,20,0,0,4,0,0,82,6,0
