Order,,,common name ,species,,,placenta_invasiveness,,interdigitation_placenta,,,,,,
Afrosoricida,,,Cape golden mole ,Chrysochloris asiatica,,,hemo,1,Labyrinthine,1,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D34,
Afrosoricida,Tenrecidae,Echinops, lesser hedgehog tenrec,Echinops telfairi,polygynous,2,hemo,1,Labyrinthine,1,solitary,1,HemoLab,,
Afrosoricida,,,lowland streaked tenrec,Hemicentetes semispinosus,,,hemo,1,Labyrinthine,1,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D123,
Afrosoricida,,,web-footed tenrec,Limnogale mergulus,,,hemo,1,Labyrinthine,1,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D122,
Afrosoricida,,,Cowan's shrew tenrec ,Microgale cowani,,,hemo,1,Labyrinthine,1,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D121,
Afrosoricida,,,mole-like rice tenrec,Oryzorictes hova,,,hemo,1,Labyrinthine,1,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D120,
Afrosoricida,,,giant otter shrew ,Potamogale velox,,,hemo,1,Labyrinthine,1,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D119,
Afrosoricida,Tenrecidae,Setifer,greater hedgehog tenrec,Setifer setosus,polygynous,2,hemo,1,Labyrinthine,1,solitary,1,HemoLab,,
Afrosoricida,Tenrecidae,Tenrec,tailless tenrec,Tenrec ecaudatus,polygynous,2,hemo,1,Labyrinthine,1,solitary,1,HemoLab,,
Artiodactyla,Bovidae,Addax,addax,Addax nasomaculatus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Aepyceros, impala ,Aepyceros melampus,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Alcelaphus, hartebeest,Alcelaphus buselaphus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/topifs.htm,
Artiodactyla,Cervidae,Alces,moose,Alces alces,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Cervidae,Alces,elk,Alces americanus,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Ammotragus,Barbary sheep ,Ammotragus lervia,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html,
Artiodactyla,Bovidae,Antidorcas,springbok ,Antidorcas marsupialis,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/springbok.htm,
Artiodactyla,Antilocapridae,Antilocapra,pronghorn,Antilocapra americana,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Antilope, blackbuck,Antilope cervicapra,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Cervidae,Axis,chital ,Axis axis,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/deer.html,
Artiodactyla,Cervidae,Axis,Calamian deer,Axis calamianensis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Cervidae,Axis,Bawean deer ,Axis kuhlii,no data,,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Suidae,Babyrousa,Buru babirusa,Babyrousa babyrussa,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Suidae,Babyrousa,North Sulawesi babirusa ,Babyrousa celebensis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Bison,American bison,Bison bison,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Bison,European bison,Bison bonasus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Cervidae,Blastocerus,marsh deer,Blastocerus dichotomus,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Bos,gayal,Bos frontalis,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Bos,gaur ,Bos gaurus,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Bos,domestic yak,Bos grunniens,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Bos,zebu,Bos indicus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Bos,banteng,Bos javanicus,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Bos,cow,Bos taurus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,,,nilgai,Boselaphus tragocamelus,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D23,
Artiodactyla,Bovidae,Bubalus,water buffalo,Bubalus bubalis,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Bubalus,dwarf buffalo,Bubalus depressicornis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/anoa.htm,
Artiodactyla,Bovidae,Bubalus,Mindoro dwarf buffalo,Bubalus mindorensis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Budorcas,takin,Budorcas taxicolor,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Camelidae,Camelus,Bactrian camel ,Camelus bactrianus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://placentation.ucsd.edu/camfs.htm,
Artiodactyla,Camelidae,Camelus, dromedary,Camelus dromedarius,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,,,East Caucasian tur,Capra cylindricornis,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D22,
Artiodactyla,Bovidae,Capra,markhor,Capra falconeri,polygynous,2,epi,3,Villous,3,male,2,EpiVil,http://placentation.ucsd.edu/alpinefs.htm,
Artiodactyla,Bovidae,Capra,domestic goat,Capra hircus,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,,,Alpine ibex,Capra ibex,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D20,
Artiodactyla,Bovidae,Capra,Nubian ibex ,Capra nubiana,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
Artiodactyla,Bovidae,Capra,Iberian ibex,Capra pyrenaica,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html,
Artiodactyla,,,roe deer,Capreolus capreolus,,,epi,3,Villous,3,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D32,
Artiodactyla,Bovidae,Naemorhedus,Japanese serow,Capricornis crispus,monogamous,1,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/serow.html,
Artiodactyla,Tayassuidae,Catagonus,Chacoan peccary,Catagonus wagneri,polygynous,2,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Cephalophus, bay duiker,Cephalophus dorsalis,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Cephalophus,Jentink's duiker,Cephalophus jentinki,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Cephalophus,blue duiker,Cephalophus monticola,monogamous,1,epi,3,Villous,3,herd,4,EpiVil,,
Artiodactyla,Bovidae,Cephalophus, black duiker,Cephalophus niger,polygynous,2,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Cephalophus,red-flanked duiker,Cephalophus rufilatus,monogamous,1,epi,3,Villous,3,solitary,1,EpiVil,,
Artiodactyla,Bovidae,Cephalophus,yellow-backed duiker,Cephalophus silvicultor,monogamous,1,epi,3,Villous,3,solitary,1,EpiVil,http://placentation.ucsd.edu/duiker.htm,
Artiodactyla,,,Commerson's dolphin,Cephalorhynchus commersonii,,,epi,3,Trabecular,2,,,,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D51,
Artiodactyla,Cervidae,Cervus,wapiti,Cervus canadensis,polygynous,2,epi,3,Villous,3,male,2,EpiVil,,
